Genotype,,RP979-1,RP979-2,RP979-3,RP979-4,RP979-5,RP979-6,RP979-7,RP979-8,RP979-9,RP979-10,RP979-11,RP979-12,RP979-13,RP979-14,RP979-15,RP979-16,RP979-17,RP979-18,RP979-19,RP979-20,RP979-21,RP979-22,RP979-23,RP979-24,RP979-25,RP979-26,RP979-27,RP979-28,RP979-29,RP979-30,RP979-31,RP979-32,RP979-33,RP979-34,RP979-35,RP979-36,RP979-37,RP979-38,RP979-39,RP979-40,RP979-41,RP979-42,RP979-43,RP979-44,RP979-45,RP979-46,RP979-47,RP979-48,RP979-49,RP979-50,RP979-51,RP979-52,RP979-53,RP979-54,RP979-55,RP979-56,RP979-57,RP979-58,RP979-59,RP979-60,RP979-61,RP979-62,RP979-63,RP979-64,RP979-65,RP979-66,RP979-67,RP979-68,RP979-69,RP979-70,RP979-71,RP979-72,RP979-73,RP979-74,RP979-75,RP979-76,RP979-77,RP979-78,RP979-79,RP979-80,RP979-81,RP979-82,RP979-83,RP979-84,RP979-85,RP979-86,RP979-87,RP979-88,RP979-89,RP979-90,RP979-91,RP979-92,RP979-93,RP979-94,RP979-95,RP979-96,RP979-97,RP979-98,RP979-99,RP979-100,RP979-101,RP979-102,RP979-103,RP979-104,RP979-105,RP979-106,RP979-107,RP979-108,RP979-109,RP979-110,RP979-111,RP979-112,RP979-113,RP979-114,RP979-115,RP979-116,RP979-117,RP979-118,RP979-119,RP979-120,RP979-121,RP979-122,RP979-123,RP979-124,RP979-125,RP979-126,RP979-127,RP979-128,RP979-129,RP979-130,RP979-131,RP979-132,RP979-133,RP979-134,RP979-135,RP979-136,RP979-137,RP979-138,RP979-139,RP979-140,RP979-141,RP979-142,RP979-143,RP979-144,RP979-145,RP979-146,RP979-147,RP979-148,RP979-149,RP979-150,RP979-151,RP979-152,RP979-153,RP979-154,RP979-155,RP979-156,RP979-157,RP979-158,RP979-159,RP979-160,RP979-161,RP979-162,RP979-163,RP979-164,RP979-165,RP979-166,RP979-167,RP979-168,RP979-169,RP979-170,RP979-171,RP979-172,RP979-173,RP979-174,RP979-175,RP979-176,RP979-177,RP979-178,RP979-179,RP979-180,RP979-181,RP979-182,RP979-183,RP979-184,RP979-185,RP979-186,RP979-187,RP979-188,RP979-189,RP979-190
TTKSK,,0.67,8.33,4.33,8.33,3.5,4.33,4.33,9,2.33,9,2,-,8.33,4.33,9,2.5,8.33,1.33,0.67,0.67,9,1.33,8.33,0.67,0.67,1,1.33,2.33,0.67,1.33,2.33,0.67,8.33,8.33,0.67,0.67,7.33,8.33,0.33,1.33,8.33,0.67,0.67,0,-,-,4.33,2.33,1.33,9,5.67,1.33,-,0.67,0.67,8.33,2.33,4.33,4.33,8.33,-,9,0.67,4.33,0.67,1,1.33,0.67,1.33,0.67,8.33,2.25,2.25,8.33,9,4.33,3.67,2.25,8.33,1,8.33,0.67,9,2.25,9,0.33,9,0.67,8.33,9,1.33,7.33,8,1.75,8.33,0.67,0.67,2,4.33,4.33,4.33,8.33,4.33,4.33,8.33,0.67,2.33,2,2.33,8.33,5.67,9,8.33,0.67,1.33,7.33,5.33,8.33,8.33,0.67,4.33,1.33,5.67,8.33,8.33,1.33,0.67,5.67,0.67,0.67,8.33,8.33,9,0.33,0.33,1,8.33,8.33,8.33,1.33,4.33,2.33,1.33,0.67,2.33,2,0.33,1,0.67,8.33,1.33,0.67,0.67,8.33,0.67,9,0.67,9,0.33,0.33,0.67,1.33,2.33,1.33,-,2.33,0.67,9,2.25,0.33,8.33,0.67,9,2.33,4.33,9,0.67,1,8.33,4.33,1.33,8.33,0.67,9,8.33,1.33,0.67,7.33,0.67,8.33
TRTTF,,2.25,2.25,5.75,4.33,2.5,4.33,8,8.33,4.33,5.75,2.67,2.5,9,2.5,2.75,-,8.33,2.67,2.25,8.33,8.33,2.25,8.33,2.5,2.5,2.25,2.5,0.67,2.75,3.5,2.25,2.5,8.33,8.33,4,-,9,8.33,0.67,2.5,8.33,2.33,1.67,2.25,2.5,8.33,8.33,4.25,0.67,8.33,2.5,2.5,8.33,2.5,2.5,8.33,8.33,8.33,2.5,8,2.25,8.33,2.5,2.25,1.25,2.25,2.25,2.25,1.25,2.25,8.33,4,8.33,8.33,8.33,4.67,2.5,2.75,7.33,2.5,9,2.5,9,8.33,9,4.33,9,4.67,-,8.33,4.25,8,3.25,2.67,8.33,1.33,0.67,0.67,4.67,4,8.33,8.33,1.75,8.33,8.33,2.25,2.25,2.25,2.75,8.33,1.25,6.33,8.33,8.33,4.33,8.33,8,2.5,4.25,2.5,4,2.5,0.67,7.67,4,2.5,0.67,8.33,2.25,7.33,8.33,5.25,7.67,2.25,2.25,0.67,8,7.67,5.25,7.67,2.5,1.25,4.67,8.33,2.75,2.25,1.25,4,2.25,8,0.67,2.25,1.25,2.25,0,9,2.5,3.67,2.25,4.33,4.33,2.5,7.67,2.25,2.25,2.25,0.67,8.33,8.33,2.75,8.33,2.25,8.33,7.33,3.25,2.25,2.25,2.25,7.67,8,1.25,8.33,1,3.25,-,8,2.5,2.67,0.67,3
TMLKC,,0,3.67,0.67,8,0.67,0.33,2,8,7,7,0,1.67,6.33,0.67,2.67,4,8,6.33,0.33,0.67,8,0.67,7,2,0.33,5.67,0.67,0,0,0.33,1.5,0,8,8,0.67,0.67,8,8,1,0,8,0,4,1.67,5.67,8,5.33,3,0.33,8,4,0,5.67,1.67,1.5,8,4.75,2.67,1.5,8,2.67,8,3,2.67,3,0,1,1,0.33,0.67,8,0.67,1.75,8,8,2.33,1,0,6.33,1.67,8,0,8,1.75,8,0.33,8,2.67,8,8,2.67,8,3.33,4,8,3,8,2,5,6,6,8,5.33,1.67,8.33,0.33,3.33,0.67,0.67,8,0,8,8,0.67,2.33,6,8,8,4,0.33,4,2.67,5.67,8,5.67,3.33,1.75,5.33,1.33,3,6.33,8,8,1.5,1.75,1.67,8,8,8,1.5,0,0.67,0.67,1.5,0,1.67,2,2.67,0,8,0,0,5,8,0.67,8,0,6,-,1.67,4,0,1.75,0,0,6.33,1.67,8,2.75,0,8,1.67,8,0.33,2.75,1.67,0,4.33,8,7,0.67,8,0.67,5.33,8,6,7,8,3.33,8
1A_54945,NA,-,-,B,B,A,B,A,A,B,B,-,-,-,B,A,B,B,-,-,A,-,-,-,-,-,-,-,A,-,A,B,B,A,A,-,A,-,B,-,-,B,A,-,B,B,A,B,B,A,A,-,A,B,A,A,B,-,-,B,-,A,-,B,-,-,B,-,B,A,A,-,-,-,B,B,-,A,-,A,A,-,B,A,A,B,-,B,A,-,A,B,-,-,A,A,-,-,-,-,A,-,-,-,A,-,B,A,-,B,-,-,A,-,A,-,B,-,-,-,-,A,-,A,A,-,-,A,A,B,B,B,B,-,-,-,-,A,-,-,A,-,A,A,B,-,A,-,A,B,B,B,-,-,A,-,B,B,-,A,B,-,-,A,-,B,B,A,-,A,-,B,A,B,-,B,-,A,-,-,-,-,B,A,B,-,B,-,A,B,-
1A_65310,NA,-,A,A,A,-,B,-,A,B,A,B,-,-,B,A,-,A,A,-,A,-,-,A,-,A,A,A,B,-,B,B,B,-,A,B,-,B,-,-,-,A,B,-,B,B,A,-,A,B,-,A,B,A,-,A,-,-,B,A,A,-,-,B,B,A,-,-,-,-,-,B,-,A,A,B,B,A,-,A,-,-,-,B,A,A,-,A,-,A,-,B,-,B,-,B,-,A,A,-,B,-,-,B,B,A,-,-,-,-,B,B,-,B,-,B,-,B,A,-,B,A,-,-,B,A,B,B,A,B,-,-,A,-,-,A,B,B,-,-,A,-,A,A,-,-,-,-,A,-,A,-,B,-,-,-,-,B,-,A,-,B,-,B,-,B,B,A,A,A,-,-,-,B,B,A,B,A,-,-,-,B,B,-,-,B,B,B,-,-,-
1A_97487,NA,-,A,B,B,A,B,-,A,-,B,A,-,B,B,A,-,B,B,-,A,A,-,B,-,A,-,A,-,B,-,-,B,-,A,-,A,B,-,A,-,-,A,B,B,B,-,B,B,A,A,B,-,-,-,A,B,A,B,B,B,-,A,B,B,-,B,-,-,-,-,A,-,-,B,B,-,A,A,A,A,A,B,-,-,B,-,B,A,A,A,B,-,A,A,A,-,-,B,-,-,-,-,-,-,A,B,-,B,B,-,B,A,B,-,B,B,A,B,-,A,-,A,A,A,A,B,-,A,B,B,B,B,-,-,-,-,-,-,B,A,-,-,-,B,-,A,-,-,B,B,-,-,A,A,B,B,-,-,A,-,-,B,A,-,B,B,-,A,A,-,B,A,B,-,-,B,-,B,-,B,A,B,-,-,-,B,-,-,B,B
1A_345697,NA,-,A,B,B,A,B,A,A,-,B,-,A,B,B,A,B,B,B,-,A,A,-,B,A,-,A,A,A,B,A,B,B,A,A,B,-,A,B,A,B,B,A,B,B,B,A,B,B,-,A,B,A,B,A,A,B,A,B,B,A,A,A,B,-,-,B,B,B,A,A,-,B,A,B,B,A,A,-,-,-,A,B,A,-,B,B,B,A,A,A,-,A,A,A,A,B,A,B,-,-,A,A,-,A,A,B,A,B,B,-,B,A,B,A,B,B,-,B,A,A,A,A,A,-,-,B,-,A,B,B,B,B,A,-,A,B,A,-,B,-,-,A,A,-,-,A,-,A,B,-,B,A,A,A,B,B,B,A,-,B,A,B,A,B,B,B,A,A,-,A,B,-,B,B,-,B,A,B,A,-,A,B,-,B,B,B,A,A,B,B
1A_348702,NA,-,A,B,-,-,B,A,A,-,B,A,A,-,B,A,B,B,-,A,-,A,-,B,-,A,A,-,-,B,-,B,-,A,A,-,-,A,-,-,B,-,A,B,B,B,A,B,B,-,A,B,A,B,A,A,B,A,B,-,-,A,A,-,B,B,B,B,B,A,A,A,B,A,B,B,A,A,A,-,A,A,B,A,A,-,-,B,A,-,A,B,A,A,A,A,B,-,B,-,-,A,-,A,A,-,B,A,B,-,B,-,A,-,A,-,-,A,B,-,A,A,A,A,-,-,-,A,-,B,B,-,B,A,-,A,B,A,B,B,-,-,A,A,-,A,-,-,A,B,B,B,-,A,-,-,B,B,A,A,B,A,-,A,B,-,-,A,-,A,A,B,A,B,B,B,B,A,B,A,-,-,-,A,B,B,-,A,A,-,B
1A_385257,NA,-,A,B,B,A,B,A,A,-,-,-,-,B,B,A,B,B,B,A,A,-,-,B,A,A,A,A,A,-,-,B,-,-,A,-,A,-,-,-,-,B,A,B,B,B,-,-,-,A,-,B,A,-,-,-,B,A,B,-,B,A,A,B,B,A,B,B,B,A,-,-,-,A,B,B,A,A,A,A,A,-,-,A,-,-,-,B,A,-,A,-,A,A,A,A,B,-,B,-,-,-,-,A,-,A,-,A,-,B,-,-,-,-,-,B,-,A,-,A,A,A,-,A,A,-,-,A,-,B,-,B,-,-,-,-,-,A,-,B,-,-,-,A,-,-,-,-,-,-,B,-,A,A,A,-,B,B,-,A,B,A,B,A,-,B,-,-,-,A,-,-,-,B,-,-,-,A,B,-,-,A,B,A,-,-,B,A,-,B,-
1A_410058,NA,-,A,B,-,A,B,A,A,-,B,A,A,B,B,A,B,B,-,A,A,A,-,B,-,-,A,A,-,B,A,B,-,A,A,B,A,B,B,-,B,B,A,B,B,B,-,-,B,A,A,B,A,B,A,A,-,A,-,-,-,A,A,B,B,A,B,-,-,A,A,A,-,A,B,B,A,A,A,A,A,-,B,A,-,B,-,-,A,A,A,-,A,A,A,A,B,-,B,-,A,A,-,A,A,-,B,-,B,B,B,B,A,-,A,B,B,A,B,A,A,A,A,A,A,A,B,-,A,B,B,-,-,A,-,-,B,-,-,B,A,-,A,A,B,-,-,-,-,B,-,B,A,A,A,-,B,B,A,A,B,A,B,A,-,-,B,-,A,A,-,B,A,B,B,-,B,-,B,A,B,A,B,-,B,-,B,-,A,B,B
