CDS_name	CGI_begin	CGI_end	CGI_length	CGI_(G+C)_frequency	CGI_CpGo/e_ratio	CGI_start/no-start	dataset	CGI_start-score		
AB001517.PE4	9817	10558	 742	0.630728	0.546875	no-start	train	0.16247707
AB001517.PWP2	3288	4751	1314	0.682648	0.845163	start	train	0.58658243
AB003151.CBR	116003	116993	 841	0.611177	0.675011	no-start	test	0.26088904
AB003151.CBR	17658	18551	 888	0.579955	0.551296	no-start	train	0.14965465
AB003151.CBR	45626	47086	1161	0.614987	0.867182	no-start	train	0.52297272
AB003151.CBR	55568	56859	1142	0.585814	0.727950	start	train	0.32964549
AB016493.HJTB	1058	2332	1275	0.588235	0.752876	start	train	0.37735951
AB019433.NURR1	4727	7154	2428	0.566038	0.621087	no-start	test	0.36732567
AC002132.MAG	18078	18784	 581	0.490534	0.576675	no-start	test	0.10356367
AC002132.MAG	20872	21746	 725	0.638621	0.595571	no-start	train	0.20055019
AC002132.MAG	6810	7329	 520	0.659615	0.601361	no-start	test	0.19916653
AC002364.CLCN4	40092	40801	 710	0.569014	0.584654	no-start	train	0.15110977
AC002364.CLCN4	47648	48710	1063	0.617121	0.583045	no-start	test	0.20916606
AC002364.CLCN4	52859	53430	 572	0.493007	0.662037	no-start	train	0.14915367
AC002364.CLCN4	56477	57263	 714	0.540616	0.556015	no-start	train	0.12167020
AC002364.CLCN4	66300	66799	 500	0.552000	0.603992	no-start	test	0.13874220
AC002364.CLCN4	87223	87930	 708	0.515537	0.598985	start	test	0.13306696
AC002364.CLCN4	88648	89789	1142	0.536778	0.814481	no-start	train	0.37987291
AC002366.HAMELX	202067	203396	1267	0.622731	0.659607	no-start	train	0.30649657
AC004232.FPM315	10954	13037	1825	0.632329	0.729237	start	test	0.47235802
AC004232.FPM315	23575	24912	1338	0.612855	0.661650	no-start	train	0.30905716
AC004232.FPM315	33635	35259	1475	0.607458	0.897041	no-start	train	0.59672802
AC004770.FEN1	11688	12953	1116	0.596774	0.738517	start	test	0.34754607
AC004783.HEX1	36894	38017	 824	0.625000	0.855529	no-start	test	0.46914232
AC004799.PRTN3	11287	12490	1003	0.695912	0.619641	no-start	train	0.29521721
AC004799.PRTN3	3260	4076	 767	0.647979	0.584812	no-start	test	0.20228120
AC005175.PE3	3342	4314	 973	0.718397	0.589552	start	train	0.28041904
AC005175.PE3	9805	10969	1060	0.666038	0.655014	no-start	train	0.31295890
AC005185.MAGE-B2	33317	34120	 804	0.580846	0.516144	start	test	0.12419500
AC005514.PE2	483	1965	1333	0.663166	0.734954	no-start	train	0.43782493
AC005514.PE2	6811	8217	1221	0.674857	0.604317	start	test	0.28902603
AC005514.PE2	9584	10375	 642	0.637072	0.616744	no-start	train	0.20816112
AC005740.PE1	144398	145821	1269	0.595745	0.614054	no-start	train	0.24149332
AC005740.PE1	154024	154959	 786	0.589059	0.689577	no-start	train	0.25104936
AC005740.PE1	171942	172599	 508	0.498031	0.641171	no-start	train	0.13474239
AC005740.PE1	185063	185565	 503	0.660040	0.602570	no-start	train	0.19876525
AC005740.PE1	43313	44099	 787	0.468869	0.716968	no-start	test	0.19060432
AC005740.PE1	55359	56287	 874	0.635011	0.544789	start	test	0.17444690
AC005740.PE1	98965	100189	 943	0.632025	0.755714	no-start	train	0.37594748
AC005763.PALM	11866	12945	 930	0.756989	0.714719	start	train	0.44837435
AC005763.PALM	13599	14299	 701	0.572040	0.523291	no-start	test	0.11759314
