marker	LG	gPos	gOrder	chr	pPos	pOrder
1A_573418	1A	0	1	1A	573418	12
4B_1513327	1A	0	2	4B	1513327	3482
1A_54945	1A	0	3	1A	54945	1
1A_345697	1A	0	4	1A	345697	4
1A_348702	1A	0	5	1A	348702	5
1A_532752	1A	0	6	1A	532752	9
1A_571883	1A	0	7	1A	571883	10
1A_572303	1A	0	8	1A	572303	11
1A_603524	1A	0	9	1A	603524	13
1A_729430	1A	0	10	1A	729430	14
1A_744834	1A	0	11	1A	744834	15
1A_1112074	1A	0	12	1A	1112074	18
2A_162118299	1A	0	13	2A	162118299	979
1A_1104862	1A	3.740300049	14	1A	1104862	16
1B_503949	1A	3.740300049	15	1B	503949	465
1B_504115	1A	3.740300049	16	1B	504115	466
1A_385257	1A	3.740300049	17	1A	385257	6
1A_1107009	1A	3.740300049	18	1A	1107009	17
1A_97487	1A	6.682274287	19	1A	97487	3
1A_410058	1A	6.682274287	20	1A	410058	7
1A_2129758	1A	11.23336378	21	1A	2129758	22
1A_1370970	1A	15.985523	22	1A	1370970	19
1B_3654465	1A	20.14729667	23	1B	3654465	484
1A_3199697	1A	35.41304738	24	1A	3199697	26
1A_3232572	1A	35.41304738	25	1A	3232572	27
1A_3541354	1A	35.41304738	26	1A	3541354	30
1A_3794107	1A	39.85259906	27	1A	3794107	32
1A_3658845	1A	39.85259906	28	1A	3658845	31
1A_1989668	1A	44.02061807	29	1A	1989668	20
1B_6348004	1A	44.02061807	30	1B	6348004	499
1A_3191804	1A	47.31122047	31	1A	3191804	25
1A_3293907	1A	50.47039128	32	1A	3293907	28
1A_2443064	1A	53.20658151	33	1A	2443064	23
1A_2769371	1A	53.20658151	34	1A	2769371	24
1B_12297398	1A	53.20658151	35	1B	12297398	508
1A_6268576	1A	56.72552548	36	1A	6268576	57
1A_4576834	1A	56.72552548	37	1A	4576834	45
1A_4926552	1A	56.72552548	38	1A	4926552	48
1A_4910718	1A	56.72552548	39	1A	4910718	47
1A_6065903	1A	56.72552548	40	1A	6065903	55
1A_4574767	1A	56.72552548	41	1A	4574767	43
1A_5198745	1A	56.72552548	42	1A	5198745	51
1A_4467084	1A	56.72552548	43	1A	4467084	40
1A_4076418	1A	56.72552548	44	1A	4076418	33
